iter	Passed	Remaining
477	647	706
478	648	705
479	649	703
480	650	702
481	651	700
482	652	698
483	653	697
484	655	695
485	656	693
486	657	692
487	658	690
488	659	689
489	660	687
490	661	686
491	662	684
492	664	682
493	665	681
494	666	679
495	667	678
496	668	676
497	669	674
498	670	673
499	671	671
500	672	669
501	673	668
502	674	666
503	675	665
504	676	663
505	677	661
506	678	660
507	679	658
508	680	656
509	681	655
510	682	653
511	683	651
512	684	650
513	685	648
514	687	647
515	688	645
516	689	643
517	690	642
518	691	640
519	692	638
520	693	637
521	694	635
522	695	634
523	696	632
524	697	630
525	698	629
526	699	627
527	699	625
528	700	624
529	701	622
530	702	620
531	704	619
532	705	617
533	706	616
534	707	614
535	708	613
536	709	611
537	710	610
538	711	608
539	712	606
540	713	605
541	714	603
542	715	602
543	716	600
544	717	598
545	718	597
546	719	596
547	720	594
548	721	593
549	722	591
550	723	589
551	724	588
552	726	586
553	727	585
554	728	583
555	729	582
556	730	580
557	731	579
558	732	577
559	739	580
560	740	579
561	741	577
562	742	576
563	743	574
564	744	573
565	745	571
566	746	570
567	747	568
568	748	567
569	749	565
570	750	564
571	751	562
572	752	561
573	753	559
574	754	557
575	755	556
576	756	554
577	757	553
578	759	551
579	760	550
580	761	549
581	762	547
582	764	546
583	765	545
584	767	544
585	768	543
586	769	541
587	771	540
588	772	538
589	773	537
590	774	536
591	775	534
592	776	533
593	778	532
594	780	531
595	781	529
596	782	528
597	783	526
598	784	525
599	786	524
600	787	522
601	788	521
602	789	519
603	790	518
604	791	516
605	794	516
606	795	515
607	796	513
608	797	512
609	799	510
610	800	509
611	801	508
612	802	506
613	803	505
614	804	503
615	805	502
616	807	500
617	808	499
618	809	498
619	811	497
620	812	495
621	813	494
622	814	492
623	815	491
624	816	490
625	817	488
626	818	487
627	819	485
628	821	484
629	822	483
630	823	481
631	825	480
632	826	479
633	827	477
634	828	476
635	829	474
636	831	473
637	832	472
638	833	470
639	834	469
640	835	467
641	836	466
642	838	465
643	839	464
644	840	462
645	841	461
646	842	459
647	844	458
648	845	457
649	846	455
650	847	454
651	848	453
652	849	451
653	851	450
654	852	449
655	853	447
656	854	446
657	855	444
658	856	443
659	857	441
660	858	440
661	860	439
662	861	437
663	862	436
664	863	434
665	864	433
666	866	432
667	867	431
668	868	429
669	869	428
670	870	426
671	871	425
672	872	424
673	874	422
674	875	421
675	876	419
676	877	418
677	878	417
678	879	415
679	880	414
680	882	413
681	883	411
682	884	410
683	885	408
684	886	407
685	887	406
686	888	404
687	889	403
688	890	401
689	891	400
690	892	399
691	893	397
692	895	396
693	896	395
694	897	394
695	898	392
696	899	391
697	900	389
698	901	388
699	903	387
700	903	385
701	905	384
702	906	382
703	907	381
704	908	380
705	909	378
706	910	377
707	911	376
708	912	374
709	913	373
710	914	371
711	916	370
712	917	369
713	918	367
714	919	366
715	920	365
716	921	363
717	922	362
718	923	360
719	924	359
720	925	358
721	926	356
722	927	355
723	928	354
724	929	352
725	930	351
726	932	349
727	933	348
728	934	347
729	935	345
730	936	344
731	937	343
732	938	341
733	939	340
734	940	339
735	941	337
736	942	336
737	943	335
738	945	333
739	946	332
740	947	331
741	948	329
742	949	328
743	950	327
744	952	325
745	953	324
746	954	323
747	955	322
748	957	320
749	958	319
750	959	318
751	960	316
752	961	315
753	962	314
754	963	312
755	964	311
756	965	310
757	966	308
758	968	307
759	969	306
760	970	304
761	971	303
762	972	302
763	973	300
764	974	299
765	975	298
766	976	296
767	977	295
768	978	294
769	979	292
770	981	291
771	982	290
772	983	288
773	984	287
774	985	286
775	987	284
776	988	283
777	989	282
778	990	280
779	991	279
780	992	278
781	993	276
782	994	275
783	995	274
784	996	273
785	998	271
786	999	270
787	1000	269
788	1001	267
789	1003	266
790	1004	265
791	1005	264
792	1006	262
793	1007	261
794	1009	260
795	1010	258
796	1011	257
797	1012	256
798	1013	254
799	1014	253
800	1015	252
801	1016	251
802	1017	249
803	1019	248
804	1020	247
805	1021	245
806	1022	244
807	1023	243
808	1024	241
809	1025	240
810	1026	239
811	1028	238
812	1029	236
813	1030	235
814	1031	234
815	1032	232
816	1033	231
817	1035	230
818	1036	228
819	1037	227
820	1038	226
821	1039	225
822	1040	223
823	1041	222
824	1042	221
825	1043	219
826	1044	218
827	1045	217
828	1046	215
829	1047	214
830	1049	213
831	1050	212
832	1051	210
833	1052	209
834	1053	208
835	1054	206
836	1055	205
837	1056	204
838	1057	203
839	1059	201
840	1060	200
841	1061	199
842	1062	197
843	1063	196
844	1064	195
845	1065	193
846	1066	192
847	1067	191
848	1068	190
849	1069	188
850	1070	187
851	1071	186
852	1073	184
853	1074	183
854	1075	182
855	1076	181
856	1077	179
857	1078	178
858	1079	177
859	1080	175
860	1081	174
861	1082	173
862	1083	172
863	1084	170
864	1085	169
865	1086	168
866	1088	166
867	1089	165
868	1090	164
869	1091	163
870	1092	161
871	1093	160
872	1094	159
873	1095	157
874	1096	156
875	1097	155
876	1098	154
877	1099	152
878	1100	151
879	1101	150
880	1102	148
881	1103	147
882	1104	146
883	1106	145
884	1107	143
885	1108	142
886	1109	141
887	1110	140
888	1111	138
889	1112	137
890	1113	136
891	1114	134
892	1115	133
893	1116	132
894	1117	131
895	1118	129
896	1119	128
897	1120	127
898	1121	126
899	1122	124
900	1124	123
901	1125	122
902	1126	120
903	1127	119
904	1128	118
905	1129	117
906	1130	115
907	1131	114
908	1132	113
909	1133	112
910	1134	110
911	1135	109
912	1136	108
913	1137	107
914	1138	105
915	1139	104
916	1140	103
917	1141	101
918	1142	100
919	1143	99
920	1144	98
921	1145	96
922	1147	95
923	1148	94
924	1149	93
925	1150	91
926	1151	90
927	1152	89
928	1153	88
929	1154	86
930	1155	85
931	1156	84
932	1157	83
933	1158	81
934	1159	80
935	1160	79
936	1161	78
937	1163	76
938	1164	75
939	1165	74
940	1166	73
941	1167	71
942	1168	70
943	1169	69
944	1170	68
945	1171	66
946	1172	65
947	1173	64
948	1174	63
949	1175	61
950	1176	60
951	1178	59
952	1179	58
953	1180	56
954	1181	55
955	1182	54
956	1183	53
957	1184	51
958	1185	50
959	1186	49
960	1187	48
961	1188	46
962	1189	45
963	1190	44
964	1191	43
965	1192	41
966	1193	40
967	1194	39
968	1195	38
969	1196	37
970	1198	35
971	1199	34
972	1200	33
973	1201	32
974	1202	30
975	1203	29
976	1204	28
977	1205	27
978	1206	25
979	1208	24
980	1209	23
981	1210	22
982	1211	20
983	1212	19
984	1213	18
985	1214	17
986	1215	16
987	1216	14
988	1217	13
989	1218	12
990	1219	11
991	1220	9
992	1221	8
993	1223	7
994	1224	6
995	1225	4
996	1226	3
997	1227	2
998	1228	1
999	1229	0
